ASTEROID_NUMBER,PROVISIONAL_ID,PROPER_A,PROPER_ECC,SINE_PROPER_INCL,FAMILY_NAME,CLUMP_FLAG,CONFIDENCE_LEVEL
2472,---,2.26513,0.1446,0.0881,Flora,F,2
2473,---,2.24177,0.1436,0.0987,Flora,F,2
2474,---,2.68558,0.2486,0.1384,---,-,9
2475,---,3.03837,0.0779,0.1642,Eos,F,3
2476,---,3.02375,0.0826,0.1713,Eos,F,3
2477,---,2.55710,0.1318,0.1166,---,-,9
2478,---,2.22560,0.1126,0.0832,Flora,F,1
2479,---,2.38908,0.2214,0.0612,---,-,9
2480,---,2.22573,0.1163,0.0394,---,-,9
2481,---,2.56996,0.2240,0.0395,---,-,9
2482,---,2.92855,0.0748,0.0341,Koronis,F,2
2484,---,2.34280,0.2126,0.0342,---,-,9
2485,---,3.19855,0.2230,0.0259,---,-,9
2486,---,2.26844,0.1247,0.1423,---,-,9
2487,---,2.39704,0.1544,0.0550,Polana(nysa),F,2
2488,---,2.26373,0.1772,0.1050,---,-,9
2489,---,3.10997,0.1491,0.0216,Themis,F,3
2490,---,2.60975,0.1284,0.2323,Eunomia,F,2
2492,---,3.17573,0.1584,0.0231,Themis,F,3
2493,---,2.78893,0.1317,0.1584,Ceres,F,3
