asteroid number,asteroid name,wavelength,reflectance,uncertainty
192,nausikaa,2.3786,1.04884,0.00512
192,nausikaa,2.3814,1.02708,0.00494
192,nausikaa,2.3842,1.03212,0.00499
192,nausikaa,2.3870,1.02959,0.00525
192,nausikaa,2.3898,1.03716,0.00594
192,nausikaa,2.3926,1.04443,0.00582
192,nausikaa,2.3953,1.04440,0.00523
192,nausikaa,2.3981,1.04257,0.00506
192,nausikaa,2.4009,1.05094,0.00507
192,nausikaa,2.4037,1.04402,0.00506
192,nausikaa,2.4065,1.05242,0.00512
192,nausikaa,2.4092,1.05849,0.00516
192,nausikaa,2.4120,1.05869,0.00525
192,nausikaa,2.4148,1.04993,0.00528
192,nausikaa,2.4175,1.04291,0.00536
192,nausikaa,2.4203,1.02705,0.00527
192,nausikaa,2.4230,1.03506,0.00535
192,nausikaa,2.4258,1.03496,0.00525
192,nausikaa,2.4286,1.05503,0.00532
192,nausikaa,2.4313,1.06752,0.00541
192,nausikaa,2.4341,1.04854,0.00545
192,nausikaa,2.4368,1.04001,0.00547
192,nausikaa,2.4396,1.06290,0.00561
192,nausikaa,2.4423,1.06699,0.00567
192,nausikaa,2.4451,1.06549,0.00568
192,nausikaa,2.4478,1.04933,0.00563
192,nausikaa,2.4505,1.04562,0.00580
192,nausikaa,2.4533,1.03191,0.00573
192,nausikaa,2.4560,1.05358,0.00575
192,nausikaa,2.4588,1.05953,0.00572
192,nausikaa,2.4615,1.05658,0.00571
192,nausikaa,2.4643,1.04379,0.00560
192,nausikaa,2.4670,1.06210,0.00593
192,nausikaa,2.4697,1.04998,0.00663
192,nausikaa,2.4725,1.05563,0.00699
192,nausikaa,2.4752,1.08251,0.00647
192,nausikaa,2.4780,1.08159,0.00631
192,nausikaa,2.4808,1.07204,0.00663
192,nausikaa,2.4835,1.06978,0.00658
192,nausikaa,2.4863,1.05895,0.00668
192,nausikaa,2.4890,1.06495,0.00692
192,nausikaa,2.4918,1.05639,0.00697
192,nausikaa,2.4946,1.06636,0.00705
192,nausikaa,2.4973,1.07414,0.00693
192,nausikaa,2.5001,1.09017,0.00695
1,ceres,0.7688,1.04245,0.00082
1,ceres,0.7713,1.03684,0.00081
1,ceres,0.7739,1.04015,0.00073
1,ceres,0.7791,1.04535,0.00073
1,ceres,0.7844,1.05156,0.00073
1,ceres,0.7871,1.06147,0.00074
1,ceres,0.7898,1.04906,0.00073
1,ceres,0.7925,1.05547,0.00073
1,ceres,0.7953,1.05276,0.00073
1,ceres,0.7980,1.05817,0.00074
1,ceres,0.8008,1.05607,0.00073
1,ceres,0.8036,1.05997,0.00074
1,ceres,0.8064,1.05136,0.00073
1,ceres,0.8121,1.04916,0.00073
1,ceres,0.8150,1.06458,0.00074
1,ceres,0.8179,1.05266,0.00073
1,ceres,0.8208,1.06167,0.00074
1,ceres,0.8237,1.05587,0.00073
1,ceres,0.8267,1.06488,0.00074
1,ceres,0.8296,1.04816,0.00065
1,ceres,0.8326,1.05787,0.00066
1,ceres,0.8356,1.05967,0.00066
1,ceres,0.8387,1.05747,0.00066
1,ceres,0.8417,1.05196,0.00065
1,ceres,0.8448,1.06298,0.00066
1,ceres,0.8479,1.05096,0.00065
1,ceres,0.8510,1.05907,0.00066
